selected_site,Z,pop_dev,cost_over,water_short,env_short
Boughrara,30352.896,245.74983,577.7913,0.0,0.0
Rjim_Maatoug,35094.285902,290.95386,597.38634,1.2518251,0.0
Boughrara,33281.4354,276.97211,558.42244,0.0,0.0
Rjim_Maatoug,31812.026222,265.87966,519.50881,1.4486061,0.0
Rjim_Maatoug,27083.688162,213.40391,571.91193,1.2088931,0.0
Boughrara,31512.8751,263.45148,516.77271,0.0,0.0
Boughrara,31005.9655,259.01635,510.43305,0.0,0.0
Boughrara,32424.2614,280.85334,433.89274,0.0,0.0
Boughrara,36140.62038146,313.35054,480.39875,0.078944073,0.0
Rjim_Maatoug,28574.502474,232.10311,533.56635,1.4263987,0.0
Rjim_Maatoug,27936.78883,220.5282,586.37739,1.0097465,0.0
Boughrara,25961.7668,217.90745,417.10218,0.0,0.0
Rjim_Maatoug,29897.192905999997,256.55264,421.3725,1.4101953,0.0
Rjim_Maatoug,35058.909256,305.98654,443.39545,1.3150378,0.0
Rjim_Maatoug,32510.06104,256.87668,680.17431,1.032497,0.0
Boughrara,30601.1212,265.25646,407.54752,0.0,0.0
Boughrara,29689.2184,245.15438,517.37804,0.0,0.0
Boughrara,31434.320699999997,249.52449,648.18717,0.0,0.0
Boughrara,32291.7701,267.98854,549.29161,0.0,0.0
Rjim_Maatoug,30792.614601999998,243.16764,645.02276,1.2811501,0.0
Boughrara,32796.2642,279.37179,485.90852,0.0,0.0
Rjim_Maatoug,30592.760938,247.60564,580.41277,1.4034619,0.0
Boughrara,27919.336015399997,236.00024,431.71629,0.10745577,0.0
Rjim_Maatoug,37207.185372,302.41965,694.14775,1.1871436,0.0
Boughrara,30725.596800000003,271.34912,359.06848,0.0,0.0
Boughrara,26485.3123,213.71063,511.42493,0.0,0.0
Boughrara,34615.072700000004,296.58523,495.65497,0.0,0.0
Rjim_Maatoug,33538.508824000004,275.28425,598.81767,1.0953562,0.0
Boughrara,33552.9805,288.80445,467.25355,0.0,0.0
Boughrara,28109.9081,231.17717,499.21911,0.0,0.0
Boughrara,33755.2575,284.4982,530.54375,0.0,0.0
Rjim_Maatoug,33588.093062,285.12384,504.68443,1.4432381,0.0
Boughrara,29900.161999999997,250.46828,485.3334,0.0,0.0
Boughrara,30724.996700000003,261.4913,457.58667,0.0,0.0
Rjim_Maatoug,32206.776920000004,263.21008,586.2685,1.154196,0.0
Boughrara,31253.451699999998,254.78744,577.47077,0.0,0.0
Boughrara,30610.1489,268.98374,371.17749,0.0,0.0
Rjim_Maatoug,33239.271220999995,273.64561,585.486,0.99251105,0.0
Rjim_Maatoug,31420.342018000003,258.36882,555.50539,1.4203059,0.0
Boughrara,28840.567600000002,230.14248,582.63196,0.0,0.0
Boughrara,32100.2806,268.20201,528.00796,0.0,0.0
Rjim_Maatoug,31046.473062,257.59061,526.6338,1.0537031,0.0
Rjim_Maatoug,33577.290446,282.46326,530.47742,1.3095123,0.0
Boughrara,34577.9196,297.07664,487.02556,0.0,0.0
Boughrara,32844.77420000001,290.16412,382.83622,0.0,0.0
Rjim_Maatoug,33997.167934000005,288.55864,511.42842,1.3509867,0.0
Rjim_Maatoug,29376.626108,235.02481,585.15592,1.1292954,0.0
Boughrara,29597.57,249.26689,467.0881,0.0,0.0
Rjim_Maatoug,30661.422502,273.99295,323.55496,1.3288951,0.0
Rjim_Maatoug,35387.87583,304.97216,486.41815,1.3239165,0.0
Boughrara,30316.128600000004,259.65032,435.10966,0.0,0.0
Boughrara,31764.4724,268.6836,489.61124,0.0,0.0
Boughrara,31654.3914,253.23036,633.13554,0.0,0.0
Rjim_Maatoug,29654.933001999998,242.46632,538.36257,1.2337651,0.0
Boughrara,32101.2944,275.50433,455.08614,0.0,0.0
Boughrara,32717.616799999996,285.35148,418.24688,0.0,0.0
Rjim_Maatoug,30853.973972,247.64735,606.76743,1.0782336,0.0
Rjim_Maatoug,29615.704018,246.56277,493.00723,1.4677359,0.0
Boughrara,28031.652899999997,238.33987,419.76659,0.0,0.0
Rjim_Maatoug,28287.957631999998,224.78151,578.15578,1.4124416,0.0
Rjim_Maatoug,31748.683138,264.34341,529.16602,1.1340969,0.0
Boughrara,30745.1954,261.66645,457.85504,0.0,0.0
Rjim_Maatoug,33264.31052,276.82025,555.64364,1.292456,0.0
Boughrara,25866.3629,213.21682,454.46809,0.0,0.0
Rjim_Maatoug,34014.753756,282.9478,569.15919,1.4190928,0.0
Rjim_Maatoug,29691.873848000003,239.15477,574.69313,1.4732774,0.0
Boughrara,32301.892600000003,277.10304,459.15886,0.0,0.0
Boughrara,30265.4203,251.6034,510.50803,0.0,0.0
Boughrara,30675.867199999997,262.35864,444.00032,0.0,0.0
Rjim_Maatoug,24736.300914,189.23761,578.75358,1.2502057,0.0
Rjim_Maatoug,32208.580492,268.84353,530.06051,1.1811196,0.0
Boughrara,30085.017900000003,257.96298,428.87199,0.0,0.0
Rjim_Maatoug,27681.773682,227.35192,492.18403,1.2370691,0.0
Boughrara,32507.770099999998,265.47814,595.99561,0.0,0.0
Boughrara,30668.8597,251.88577,548.02827,0.0,0.0
Boughrara,30935.464,262.04738,473.0726,0.0,0.0
Boughrara,33756.9406,284.2038,533.65606,0.0,0.0
Boughrara,32184.144399999997,278.40992,434.31524,0.0,0.0
Boughrara,33369.865900000004,282.85007,508.48589,0.0,0.0
Rjim_Maatoug,35041.512528,288.04363,621.08034,1.3173064,0.0
Boughrara,27582.2417,230.17571,456.46707,0.0,0.0
Rjim_Maatoug,29862.87456,246.15195,522.25093,1.258513,0.0
Boughrara,32360.5067,284.27072,393.34347,0.0,0.0
Rjim_Maatoug,31866.256218,254.03356,643.64731,1.3213559,0.0
Boughrara,27355.6339,231.14671,424.09629,0.0,0.0
Rjim_Maatoug,27034.628464,214.07448,560.4949,1.1115732,0.0
Rjim_Maatoug,31518.776942,260.41118,545.59323,1.0863321,0.0
Boughrara,32323.034400000004,267.78464,554.45704,0.0,0.0
Boughrara,31112.324200000003,257.87952,532.43722,0.0,0.0
Boughrara,32381.48047138,287.06146,367.39013,0.071658569,0.0
Boughrara,34467.8177,290.77906,538.99117,0.0,0.0
Boughrara,34305.9375,294.85034,482.09035,0.0,0.0
Rjim_Maatoug,33210.425026,288.19921,436.19729,1.4265563,0.0
Boughrara,31733.3099,258.96233,583.70769,0.0,0.0
Rjim_Maatoug,32184.061414000003,259.42921,621.88034,1.1168507,0.0
Rjim_Maatoug,33421.91899,291.20475,427.44935,1.3475245,0.0
Boughrara,33557.5356,282.37623,531.99126,0.0,0.0
Rjim_Maatoug,27645.548354,233.37649,428.25608,1.2669277,0.0
Rjim_Maatoug,32042.662382000002,272.27492,479.14451,1.1862641,0.0
Rjim_Maatoug,33434.003096,276.736,573.32057,1.3598698,0.0
Rjim_Maatoug,30910.019704000002,248.68134,601.38453,1.4020202,0.0
Boughrara,32346.1001,280.62582,428.35181,0.0,0.0
Boughrara,29417.263,247.43771,467.3492,0.0,0.0
Boughrara,32883.2074,271.39711,574.34964,0.0,0.0
Boughrara,31743.567199999998,275.64817,417.87502,0.0,0.0
Rjim_Maatoug,31799.061867999997,271.55726,462.1212,1.1061934,0.0
Boughrara,32488.745300000002,278.01465,468.72803,0.0,0.0
Rjim_Maatoug,31215.670893999995,247.61645,643.17629,1.1131497,0.0
Boughrara,32573.301700000004,270.4494,552.83617,0.0,0.0
Rjim_Maatoug,33496.915887999996,279.95459,547.70169,1.2219994,0.0
Boughrara,31708.610099999998,265.55253,515.33571,0.0,0.0
Boughrara,33948.9553,297.67428,418.15273,0.0,0.0
Rjim_Maatoug,37365.148492,313.96902,594.18576,1.3194446,0.0
Boughrara,33580.0014,288.01883,477.81184,0.0,0.0
Rjim_Maatoug,29202.893190000003,226.08411,657.08571,1.1812545,0.0
Rjim_Maatoug,32519.759606,285.53492,394.22314,1.2018103,0.0
Boughrara,28759.808299999997,236.12514,514.72943,0.0,0.0
Boughrara,31479.534999999996,272.0259,427.6945,0.0,0.0
Boughrara,30326.2205,253.83137,494.30835,0.0,0.0
Rjim_Maatoug,32915.770295999995,279.93733,489.42044,1.3916448,0.0
Boughrara,36272.0038,308.76023,539.59808,0.0,0.0
Rjim_Maatoug,29401.662602,224.58748,691.98558,1.1529401,0.0
Rjim_Maatoug,32014.604956,262.47835,574.352,1.1624978,0.0
Boughrara,33937.3193,290.67485,486.98343,0.0,0.0
Boughrara,29519.8186,238.22114,569.77046,0.0,0.0
Rjim_Maatoug,30501.679518,254.17416,505.65884,1.3837559,0.0
Boughrara,28253.1716,237.28145,452.50266,0.0,0.0
Boughrara,29227.2748,238.77409,534.98658,0.0,0.0
Rjim_Maatoug,30868.209042,252.76082,556.8409,1.1859021,0.0
Rjim_Maatoug,34298.648016,290.1486,525.91979,1.2295058,0.0
Boughrara,31742.442,255.83069,615.9373,0.0,0.0
Rjim_Maatoug,31203.74111,254.10208,576.89541,1.2289505,0.0
Boughrara,31006.2662,251.2621,588.00562,0.0,0.0
Boughrara,32483.057599999996,273.11213,517.18446,0.0,0.0
Rjim_Maatoug,30578.85718,257.20371,483.02005,1.414284,0.0
Boughrara,31699.3591,260.90191,560.91681,0.0,0.0
Boughrara,28773.9891,240.10656,476.33331,0.0,0.0
